Budget_function,Title as it Appears in Source,2011 Indv,2012 Indv,2013 Indv,2014 Indv,2015 Indv,2011 Corp,2012 Corp,2013 Corp,2014 Corp,2015 Corp,2011 Total,2012 Total,2013 Total,2014 Total,2015 Total,Notes
Energy,10-year MACRS for smart electric distribution property,0,0,0,0,0,100,100,100,200,200,100,100,100,200,200,
Energy,15-year MACRS for certain electric transmission property,0,0,0,0,0,100,200,200,200,200,100,200,200,200,200,
Energy,Credit for investment in advanced energy property,<50,<50,<50,<50,<50,700,400,200,100,<50,700,400,200,100,0,
Energy,Credits tor alcohol fuels,0,0,0,0,0,200,100,<50,<50,<50,200,100,0,0,0,"In addition to the amounts above, the excise tax credit for alcohol fuel mixtures results in a reduction in excise tax receipts, net of income, of $6.0 billion over the fiscal years 2011 through 2015."
Energy,Deduction for expenditures on energy-efficient commercial building property,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,
Energy,Amortization of air pollution control facilities,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,
Energy,Amortization of geological and geophysical expenditures associated with oil and gas exploration,<50,<50,<50,<50,<50,100,100,100,100,100,100,100,100,100,100,
Energy,Credit for certain alternative motor vehicles that do not meet existing criteria of a qualified plug-in electric drive motor vehicle,<50,<50,0,0,0,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,New energy-efficient home credit,0,0,0,0,0,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Credit for energy-efficient improvements to existing homes,1500,1300,0,0,0,0,0,0,0,0,1500,1300,0,0,0,
Energy,Credit for the production of energy-efficient appliances,0,0,0,0,0,200,100,<50,<50,<50,200,100,0,0,0,
Energy,Credit for holders of clean renewable energy bonds (Code secs 54 and 54C),<50,<50,<50,100,100,<50,<50,<50,<50,<50,0,0,0,100,100,"Estimate includes refundability associated with the outlay effects found on page 45 of the JCT<a href=""https://www.jct.gov/publications.html?func=startdown&id=4386""><em>Estimates of Federal Tax Expenditures For Fiscal Years 2011-2015</em></a>."
Energy,Credits for investments in clean coal facilities,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,
Energy,Credit for plug-in electric vehicles,<50,100,100,100,100,100,200,300,400,400,100,300,400,500,500,
Energy,Residential energy-efficient property credit,200,200,200,200,200,0,0,0,0,0,200,200,200,200,200,
Energy,Special rule to implement electric transmission restructuring,0,0,0,0,0,1800,-200,-200,-200,-100,1800,-200,-200,-200,-100,
Energy,Combined heat and power,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Fuel Cells,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Geothermal,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Geothermal heat pump systems,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Microturbines,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Small wind,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Solar,<50,<50,<50,<50,<50,300,400,400,400,400,300,400,400,400,400,
Energy,Indian coal,0,0,0,0,0,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Refined coal,0,0,0,0,0,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Closed-loop biomass,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Geothermal,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Municipal solid waste,0,0,0,0,0,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Open-loop biomass,<50,<50,<50,<50,<50,300,300,300,300,200,300,300,300,300,200,
Energy,Qualified hydropower,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Small irrigation power,0,0,0,0,0,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Solar (limited to facilities placed in service before 1/1/06),<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Wind,<50,<50,<50,<50,<50,1100,1300,1400,1500,1500,1100,1300,1400,1500,1500,
Energy,Exceptions for publicly traded partnership with qualified income derived from certain energy-related activities,200,200,200,300,300,0,0,0,0,0,200,200,200,300,300,
Energy,Oil and gas,<50,<50,<50,<50,<50,900,900,900,1000,1000,900,900,900,1000,1000,
Energy,Other fuels,<50,<50,<50,<50,<50,200,200,200,200,200,200,200,200,200,200,
Energy,Exclusion of interest on State and local government qualified private activity bonds for energy production facilities,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
